pipeline_id,chunking,pre_retrieval,retrieval,index_structure,post_retrieval,question_id,hit_rate_at_5,recall_at_5,mrr_at_5,ndcg_at_5
P_fixed_1024_query_rewrite_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_1024,query_rewrite,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_dense_cosine_flat_none,fixed_512,none,dense_cosine,flat,none,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_fixed_1024_query_rewrite_sparse_bm25_flat_contextual_compression,fixed_1024,query_rewrite,sparse_bm25,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_dense_cosine_flat_none,fixed_512,query_rewrite,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_dense_cosine_flat_cross_encoder_rerank,fixed_512,none,dense_cosine,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.3333333333333333,0.5
P_fixed_1024_hyde_dense_cosine_parent_document_none,fixed_1024,hyde,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_hybrid_rrf_flat_none,fixed_512,query_rewrite,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_hybrid_rrf_flat_cross_encoder_rerank,fixed_512,none,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_fixed_512_hyde_dense_cosine_flat_none,fixed_512,hyde,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_hyde_hybrid_rrf_parent_document_none,fixed_1024,hyde,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_hybrid_rrf_flat_cross_encoder_rerank,fixed_512,query_rewrite,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_dense_cosine_flat_cross_encoder_rerank,fixed_512,query_rewrite,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_hyde_dense_cosine_parent_document_cross_encoder_rerank,fixed_1024,hyde,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_dense_cosine_flat_cross_encoder_rerank,fixed_512,hyde,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_hybrid_rrf_flat_none,fixed_512,hyde,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_sparse_bm25_flat_none,recursive,none,sparse_bm25,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_none_dense_cosine_flat_none,fixed_1024,none,dense_cosine,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_none_hybrid_rrf_flat_none,fixed_1024,none,hybrid_rrf,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_recursive_none_dense_cosine_parent_document_none,recursive,none,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_query_rewrite_dense_cosine_flat_none,fixed_1024,query_rewrite,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_sparse_bm25_parent_document_none,recursive,none,sparse_bm25,parent_document,none,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_hyde_hybrid_rrf_parent_document_cross_encoder_rerank,fixed_1024,hyde,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_sparse_bm25_flat_cross_encoder_rerank,recursive,none,sparse_bm25,flat,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_none_dense_cosine_flat_cross_encoder_rerank,fixed_1024,none,dense_cosine,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_fixed_1024_query_rewrite_hybrid_rrf_flat_none,fixed_1024,query_rewrite,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_hybrid_rrf_flat_cross_encoder_rerank,fixed_512,hyde,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_dense_cosine_parent_document_cross_encoder_rerank,recursive,none,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_sparse_bm25_parent_document_cross_encoder_rerank,recursive,none,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_dense_cosine_flat_cross_encoder_rerank,fixed_1024,query_rewrite,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_hybrid_rrf_flat_cross_encoder_rerank,fixed_1024,none,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_recursive_query_rewrite_sparse_bm25_flat_none,recursive,query_rewrite,sparse_bm25,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_hybrid_rrf_parent_document_none,recursive,none,hybrid_rrf,parent_document,none,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_recursive_query_rewrite_dense_cosine_parent_document_none,recursive,query_rewrite,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_dense_cosine_flat_contextual_compression,fixed_512,none,dense_cosine,flat,contextual_compression,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_recursive_query_rewrite_sparse_bm25_parent_document_none,recursive,query_rewrite,sparse_bm25,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_sparse_bm25_flat_cross_encoder_rerank,recursive,query_rewrite,sparse_bm25,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_query_rewrite_hybrid_rrf_flat_cross_encoder_rerank,fixed_1024,query_rewrite,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_hybrid_rrf_parent_document_cross_encoder_rerank,recursive,none,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_recursive_query_rewrite_sparse_bm25_parent_document_cross_encoder_rerank,recursive,query_rewrite,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_dense_cosine_flat_contextual_compression,fixed_512,query_rewrite,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_dense_cosine_parent_document_cross_encoder_rerank,recursive,query_rewrite,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_hybrid_rrf_parent_document_none,recursive,query_rewrite,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_dense_cosine_flat_contextual_compression,fixed_512,hyde,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_dense_cosine_parent_document_none,recursive,hyde,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_hybrid_rrf_parent_document_cross_encoder_rerank,recursive,query_rewrite,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_sparse_bm25_flat_contextual_compression,recursive,none,sparse_bm25,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_recursive_hyde_dense_cosine_parent_document_cross_encoder_rerank,recursive,hyde,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_dense_cosine_flat_contextual_compression,fixed_1024,none,dense_cosine,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_query_rewrite_dense_cosine_flat_contextual_compression,fixed_1024,query_rewrite,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_hyde_hybrid_rrf_flat_contextual_compression,fixed_512,hyde,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_hybrid_rrf_parent_document_none,recursive,hyde,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_query_rewrite_hybrid_rrf_flat_contextual_compression,fixed_512,query_rewrite,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_fixed_512_none_hybrid_rrf_flat_contextual_compression,fixed_512,none,hybrid_rrf,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_semantic_none_dense_cosine_parent_document_none,semantic,none,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_hybrid_rrf_parent_document_cross_encoder_rerank,recursive,hyde,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_sparse_bm25_flat_none,semantic,none,sparse_bm25,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_recursive_query_rewrite_sparse_bm25_flat_contextual_compression,recursive,query_rewrite,sparse_bm25,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_sparse_bm25_flat_cross_encoder_rerank,semantic,none,sparse_bm25,flat,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_semantic_none_dense_cosine_parent_document_cross_encoder_rerank,semantic,none,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_sparse_bm25_parent_document_none,semantic,none,sparse_bm25,parent_document,none,qst_0011,1.0,1.0,1.0,1.0
P_semantic_none_sparse_bm25_parent_document_cross_encoder_rerank,semantic,none,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_hyde_hybrid_rrf_flat_none,fixed_1024,hyde,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_hyde_dense_cosine_flat_none,fixed_1024,hyde,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_hybrid_rrf_parent_document_none,semantic,none,hybrid_rrf,parent_document,none,qst_0011,1.0,1.0,0.25,0.43067655807339306
P_fixed_1024_hyde_dense_cosine_flat_cross_encoder_rerank,fixed_1024,hyde,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_sparse_bm25_flat_contextual_compression,semantic,none,sparse_bm25,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_hyde_hybrid_rrf_flat_cross_encoder_rerank,fixed_1024,hyde,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_hybrid_rrf_parent_document_cross_encoder_rerank,semantic,none,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_semantic_query_rewrite_dense_cosine_parent_document_none,semantic,query_rewrite,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_dense_cosine_flat_none,recursive,none,dense_cosine,flat,none,qst_0011,1.0,1.0,0.3333333333333333,0.5
P_semantic_query_rewrite_sparse_bm25_flat_none,semantic,query_rewrite,sparse_bm25,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_hybrid_rrf_flat_none,recursive,none,hybrid_rrf,flat,none,qst_0011,1.0,1.0,1.0,1.0
P_recursive_none_dense_cosine_flat_cross_encoder_rerank,recursive,none,dense_cosine,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.3333333333333333,0.5
P_semantic_query_rewrite_sparse_bm25_parent_document_none,semantic,query_rewrite,sparse_bm25,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_dense_cosine_flat_none,recursive,query_rewrite,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_sparse_bm25_flat_cross_encoder_rerank,semantic,query_rewrite,sparse_bm25,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_dense_cosine_parent_document_cross_encoder_rerank,semantic,query_rewrite,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_sparse_bm25_parent_document_cross_encoder_rerank,semantic,query_rewrite,sparse_bm25,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_none_hybrid_rrf_flat_contextual_compression,fixed_1024,none,hybrid_rrf,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_recursive_query_rewrite_hybrid_rrf_flat_none,recursive,query_rewrite,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_hybrid_rrf_parent_document_none,semantic,query_rewrite,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_sparse_bm25_flat_contextual_compression,semantic,query_rewrite,sparse_bm25,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_hybrid_rrf_parent_document_cross_encoder_rerank,semantic,query_rewrite,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_dense_cosine_parent_document_none,semantic,hyde,dense_cosine,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_dense_cosine_flat_none,recursive,hyde,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_dense_cosine_flat_cross_encoder_rerank,recursive,query_rewrite,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_hybrid_rrf_flat_cross_encoder_rerank,recursive,none,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,1.0,1.0,0.3333333333333333,0.5
P_fixed_1024_query_rewrite_hybrid_rrf_flat_contextual_compression,fixed_1024,query_rewrite,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_hybrid_rrf_parent_document_none,semantic,hyde,hybrid_rrf,parent_document,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_dense_cosine_parent_document_cross_encoder_rerank,semantic,hyde,dense_cosine,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_dense_cosine_flat_cross_encoder_rerank,recursive,hyde,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_fixed_1024_hyde_dense_cosine_flat_contextual_compression,fixed_1024,hyde,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_hybrid_rrf_flat_cross_encoder_rerank,recursive,query_rewrite,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_hybrid_rrf_flat_none,recursive,hyde,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_hybrid_rrf_parent_document_cross_encoder_rerank,semantic,hyde,hybrid_rrf,parent_document,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_dense_cosine_flat_none,semantic,none,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_hybrid_rrf_flat_cross_encoder_rerank,recursive,hyde,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_none_dense_cosine_flat_contextual_compression,recursive,none,dense_cosine,flat,contextual_compression,qst_0011,1.0,1.0,0.3333333333333333,0.5
P_recursive_query_rewrite_dense_cosine_flat_contextual_compression,recursive,query_rewrite,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_dense_cosine_flat_cross_encoder_rerank,semantic,none,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_hybrid_rrf_flat_none,semantic,none,hybrid_rrf,flat,none,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_recursive_hyde_dense_cosine_flat_contextual_compression,recursive,hyde,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_dense_cosine_flat_none,semantic,query_rewrite,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_dense_cosine_flat_contextual_compression,semantic,none,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_hybrid_rrf_flat_cross_encoder_rerank,semantic,none,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,1.0,1.0,1.0,1.0
P_fixed_1024_hyde_hybrid_rrf_flat_contextual_compression,fixed_1024,hyde,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_dense_cosine_flat_cross_encoder_rerank,semantic,query_rewrite,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_dense_cosine_flat_contextual_compression,semantic,query_rewrite,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_hybrid_rrf_flat_cross_encoder_rerank,semantic,query_rewrite,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_hybrid_rrf_flat_none,semantic,query_rewrite,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_hybrid_rrf_flat_none,semantic,hyde,hybrid_rrf,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_dense_cosine_flat_cross_encoder_rerank,semantic,hyde,dense_cosine,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_semantic_none_hybrid_rrf_flat_contextual_compression,semantic,none,hybrid_rrf,flat,contextual_compression,qst_0011,1.0,1.0,0.5,0.6309297535714575
P_recursive_none_hybrid_rrf_flat_contextual_compression,recursive,none,hybrid_rrf,flat,contextual_compression,qst_0011,1.0,1.0,1.0,1.0
P_semantic_hyde_dense_cosine_flat_none,semantic,hyde,dense_cosine,flat,none,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_hybrid_rrf_flat_cross_encoder_rerank,semantic,hyde,hybrid_rrf,flat,cross_encoder_rerank,qst_0011,0.0,0.0,0.0,0.0
P_recursive_query_rewrite_hybrid_rrf_flat_contextual_compression,recursive,query_rewrite,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_dense_cosine_flat_contextual_compression,semantic,hyde,dense_cosine,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_query_rewrite_hybrid_rrf_flat_contextual_compression,semantic,query_rewrite,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_semantic_hyde_hybrid_rrf_flat_contextual_compression,semantic,hyde,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
P_recursive_hyde_hybrid_rrf_flat_contextual_compression,recursive,hyde,hybrid_rrf,flat,contextual_compression,qst_0011,0.0,0.0,0.0,0.0
