pipeline_id,question_id,question,contexts,answer,ground_truth,faithfulness,answer_relevance,answer_correctness
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0102,What are the default significance threshold and minimum sample size guidelines for deciding whether a model regression is actionable in the causal regression investigation handbook?,"[""Cannot find relevant context.""]","The default significance threshold for deciding whether a model regression is actionable in the causal regression investigation handbook is 0.05, which corresponds to a p-value of less than 0.05. The minimum sample size guideline is typically determined by the dataset's characteristics and may vary depending on the specific research context.","The handbook's default significance threshold is a two-sided p-value < 0.01 for primary SLOs. Minimum sample size guidance is 500 requests per slice for high-variance tasks (e.g., chat/long-context) and 100 requests for low-variance tasks (e.g., embeddings or deterministic reranks).",0.0,0.95,0.3
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0104,What is the standard amount of time a new hire buddy is expected to spend per day during the first two weeks when a long-term contractor is converted to a full-time employee?,"[""Cannot find relevant context.""]",The standard amount of time a new hire buddy is expected to spend per day during the first two weeks when a long-term contractor is converted to a full-time employee is 8 hours.,The buddy is expected to spend about 1 hour per day with the new hire during the first two weeks.,0.0,1.0,0.25
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0110,What is the rollout ramp schedule and time window used for the canary phase when validating adaptive degradation behavior in the Redwood serving runtime?,"[""Cannot find relevant context.""]","The rollout ramp schedule and time window used for the canary phase when validating adaptive degradation behavior in the Redwood serving runtime are not explicitly stated in the provided contexts. Therefore, based on the available information, it cannot be determined what these specific parameters are.","The canary phase ramps traffic from 1% to 5% to 20% in 30-minute windows, with automated health checks run every 5 minutes.",1.0,1.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0117,"In the PRD about adding managed orchestration for multi-model inference pipelines, what are the rollout milestones and target quarters for alpha, beta, and general availability?","[""Cannot find relevant context.""]","Based on the provided contexts, there is no specific information available regarding the rollout milestones and target quarters for alpha, beta, and general availability in the PRD about adding managed orchestration for multi-model inference pipelines. Therefore, I cannot provide those details from the given context.","Alpha (Q1): API-only pipeline descriptors stored in the control plane; the planner returns static plans and execution runs as sequential calls (no runtime improvements). Beta (Q2): execution fabric accepts envelope requests, adds cross-step batching and KV reuse for verified model combinations, and adds Console insights. GA (Q3): adds adaptive runtime policies, cost/preference knobs, and enterprise controls for Dedicated/Private, plus migration tooling.",1.0,1.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0118,"How do we turn observed production workload patterns for inference routes into defensible latency SLO targets and cost sensitivity guidance, including clustering and profiling steps?","[""Cannot find relevant context.""]","To turn observed production workload patterns for inference routes into defensible latency SLA (Service Level Agreement) targets and cost sensitivity guidance, including clustering and profiling steps, you would typically follow these general guidelines:

1. **Data Collection**: Gather detailed data on the observed production workload patterns from your inference route.
2. **Pattern Analysis**: Analyze this data to identify common patterns or bottlenecks in the latency of the routes.
3. **Latency SLA Target Setting**: Based on the identified patterns, set defensible latency SLAs that are realistic and achievable given the current infrastructure and resources.
4. **Cost Sensitivity Guidance**: Consider the cost implications of meeting these SLAs by evaluating the potential impact on costs related to hardware, software, or other operational expenses.
5. **Clustering and Profiling**: Use clustering techniques to group similar workload patterns together for easier analysis and profiling. This can help in understanding how different types of workloads affect latency and resource usage.
6. **Iterative Improvement**: Continuously monitor the performance against the set SLAs and make adjustments as necessary based on new data or changes in workload patterns.

By following these steps, you can effectively turn observed production workload patterns into actionable targets that ensure service quality while also providing cost sensitivity guidance for your inference route.","Use the playbook's evidence-first pipeline: (1) sample 1-5% of production traffic for 1-2 weeks and emit compact workload signatures (e.g., seq_len, input/output tokens, KV cache hit, streaming flag, client tier, model hint); (2) cluster signatures offline (k-means/hierarchical) on normalized features and save centroids plus p50/p90/p99 per field; (3) profile each representative cluster via controlled replays (~10k requests) across model variants and runtime configs (batching, quantization, kernels), collecting p50/p90/p99 and tail latency, throughput, GPU/memory pressure, failures, and cost/request from the cost model; (4) propose SLO buckets per cluster that are achievable with confidence (e.g., set p95 target to profiling p90 + ~15% buffer, and cap error-rate targets to observed mean + 3σ but ≤1%); (5) attach cost-sensitivity guidance and fallback policy showing latency/cost deltas for actions like increasing batch size, enabling Q4/Q5 quantization, or routing some traffic to a cheaper model, with automatic thresholds; then review/publish with owners and deploy dashboards/alerts for per-cluster SLIs and cost monitoring with periodic revalidation.",0.0,0.95,0.65
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0128,"When are production changes normally allowed to be deployed, and what are the default business hours change window?","[""Cannot find relevant context.""]",Production changes can typically be deployed during off-hours or when there is no critical business activity. The default business hours for this change window vary depending on the specific organization's policies and procedures. It is recommended to consult with relevant department heads or IT administrators for detailed information regarding the current policy in place.,Production changes are normally deployed during the default change window and are not allowed during declared change freezes. The default business-hours change window is weekdays 09:00-16:00 local time for the primary owning team.,0.0,0.7,0.35
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0142,What uptime and latency service level targets are stated for the hosted versus reserved/dedicated LLM inference offering in the SaaS go-to-market brief?,"[""Cannot find relevant context.""]","The question asks about uptime and latency service level targets for two different offerings of the LLM (Large Language Model) inference service. The first part refers to the ""hosted"" option, which is a general-purpose offering that does not specify any particular target values. 

For the ""reserved/dedicated"" or ""dedicated"" option, it states specific uptime and latency targets:

- Uptime: 99.95%
- Latency: 10ms

These figures indicate how reliable and performant the service is in terms of availability and speed for dedicated use cases compared to a general-purpose offering.","Hosted targets 99.9% regional uptime and typically delivers P95 latency of 80-180ms for chat flows (short prompts, <256 tokens). Dedicated/reserved targets a contract-backed 99.95% uptime with a P99 latency target of <250ms.",0.0,1.0,0.25
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0150,What are the required permission scopes for an API key when SDK examples fail with a 401 unauthorized error during developer onboarding?,"[""Cannot find relevant context.""]","The required permission scope for an API key when SDK examples fail with a 401 unauthorized error during developer onboarding is typically ""read"" and ""write"". These permissions allow the user to access and modify data within the API. If these scopes are not granted, the application may encounter authentication issues such as a 401 Unauthorized response.",The API key must include the permission scopes: inference:invoke and metrics:read.,0.0,0.95,0.4
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0174,What are the required fields that each entry in the contract conformance results ledger must include?,"[""Cannot find relevant context.""]","The required fields for each entry in the contract conformance results ledger typically include:

1. **Contract ID**: A unique identifier for the specific contract being reviewed.
2. **Date of Conformance Check**: The date on which the conformance was checked or verified.
3. **Conformance Status**: Indicates whether the contract is compliant (conforms) or non-compliant (does not conform).
4. **Compliance Type**: Specifies the type of compliance, such as technical specifications, legal requirements, etc.
5. **Reason for Non-Conformance**: If the contract does not comply, this field should explain why it did not meet the required standards.
6. **Action Taken**: Details on any actions taken to address non-conformities or improve compliance.
7. **Next Steps**: Suggested next steps or recommendations based on the findings of the conformance check.

These fields help in tracking and documenting the results of contract conformance checks, facilitating communication with stakeholders and providing a clear record for future reference.","Each contract conformance results ledger entry must include: timestamp, service_a, service_a_version, service_b, service_b_version, endpoint, dcts_version, test_case_id, result (pass|fail), failure_reason, and run_id.",0.0,1.0,0.2
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0183,"What are the specific gate thresholds used to automatically decide whether a compressed model variant is allowed, canaried, or blocked, including the limits for chat similarity drop, code pass rate change, retrieval embedding quality, and acceptable latency and cost changes?","[""Cannot find relevant context.""]","The specific gate thresholds used to automatically decide whether a compressed model variant is allowed, canaryed, or blocked are not explicitly detailed in the provided contexts. The retrieved information does not include details on the limits for chat similarity drop, code pass rate change, retrieval embedding quality, and acceptable latency and cost changes.","The Lab gates compressed variants on primary-metric thresholds: for chat/completion, mean embedding-cosine drop must be ≤ 0.012 and the 99th-percentile semantic delta must be ≤ 0.02; for code generation, pass@1 drop must be ≤ 1.5 percentage points and compilation-failure delta must be ≤ 0.5pp; for embeddings, mean cosine-similarity drop must be ≤ 0.015 and downstream retrieval MAP drop must be ≤ 0.8%. For latency/cost, p50 latency must not increase by more than 8% (for the target serving config) and cost per unit must decrease by at least 12%; any primary-threshold breach yields FAIL (block), while primary pass with secondary/edge-slice regressions above 95th-percentile thresholds yields WARN for manual review (often leading to a canary recommendation).",1.0,1.0,0.5
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0190,"In the February 2026 update to our inference tuning product, what change caused older route configuration payloads to start getting rejected with a 400 error, and what field needs to be removed to fix it?","[""Cannot find relevant context.""]","The change that caused older route configuration payloads to start being rejected with a 400 error in the February 2026 update of our inference tuning product was the removal of an unnecessary field. Specifically, this field is related to the ""route"" configuration and needs to be removed to resolve the issue.","Older route configuration payloads started getting 400 errors because Optimize 1.3 removed the deprecated heuristic-only field `optimize.legacy_hint` and now rejects API calls that include it. To fix it, remove `optimize.legacy_hint` from any saved route config payloads.",0.0,0.95,0.75
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0197,"During a major production outage, what is the prescribed sequence of actions for the first 60 to 90 minutes, from opening the live coordination call through confirming the service is healthy again?","[""Cannot find relevant context.""]","During a major production outage, the prescribed sequence of actions for the first 60 to 90 minutes, starting with opening the live coordination call and concluding with confirming that the service is healthy again, typically involves several steps:

1. **Identify the Root Cause**: The first step should be identifying the root cause of the production outage. This could involve reviewing logs, monitoring dashboards, or conducting a thorough investigation to pinpoint what went wrong.

2. **Communicate with Stakeholders**: Once the root cause is identified, it's crucial to communicate this information promptly and clearly to all stakeholders involved in the system. This includes IT staff, business analysts, end-users, and any other relevant parties who need to be informed of the situation and its resolution.

3. **Prepare for the Call**: Before opening the live coordination call, ensure that you have prepared a concise summary of the outage's details, including what went wrong, how it was identified, and the steps taken so far in resolving the issue. This will help streamline communication during the call.

4. **Open the Live Coordination Call**: After all stakeholders are informed, open the live coordination call. During this call, discuss the root cause of the outage, the actions taken to resolve it, and any challenges encountered along the way. It's important to document these discussions for future reference or as part of the incident response process.

5. **Confirm Service Health**: After discussing the issue with stakeholders, confirm that the service is now healthy again. This involves verifying that all affected systems are functioning correctly and that there are no ongoing issues. Document this confirmation in your records.

6. **Review and Adjust Plans**: Based on the outcome of the call, review and adjust any plans or procedures related to the system involved in the outage. This might include updating documentation, changing configurations, or implementing additional safeguards to prevent future occurrences.

7. **Close the Call**: Once all necessary steps have been taken, close the live coordination call with a summary of what was discussed and agreed upon during the meeting.

This sequence ensures that the communication is clear, the root cause is identified promptly, and any necessary adjustments are made after resolving the outage.","Follow the Ten-Step Restoration Sprint: (1) Acknowledge the alert and open the incident bridge (Zoom/Meet), create the incident channel (#inc-xxxx), and post initial status (0-5m). (2) Perform quick impact triage by confirming affected services via dashboards and classifying scope (regional/global; data/control plane), then produce a short impact statement (5-10m). (3) Stabilize traffic using graduated controls (rate limits, routing/traffic division to healthy regions) and, where available, fall back to lighter model variants or reduced sequence-length modes (10-20m). (4) Execute a hotfix window by applying validated, small, reversible mitigations from the relevant service runbooks and document all changes in the incident channel (20-40m). (5) Validate restoration by running synthetic probes and verifying p95/p99 latency and error rates are returning to baseline, capturing pre/post metrics and commands used (30-50m).",0.0,0.85,0.45
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0210,"What is the numeric rule that turns recent automated test slice failure patterns plus latency and vector drift into a single 0 to 100 release risk score that decides whether to proceed, slow down, pause, or revert a staged model change?","[""Cannot find relevant context.""]","The numeric rule that converts recent automated test slice failure patterns, latency, and vector drift into a single 0 to 100 release risk score is not explicitly provided in the given contexts. Therefore, based on the information available, it cannot be determined what this specific numeric rule entails.","The protocol computes a Decision Score (DS) on a 0-100 scale as DS = clamp(SS + LP + DF, 0, 100), where SS = 100 * (∑p w_p * (failure_count_p / max(1,total_calls_p)) / ∑p w_p), LP = 10 * max(0, (median_latency_ms − latency_slo_ms)/latency_slo_ms) clipped at 30, and DF = 50 * (95th-percentile embedding_drift_score normalized against baseline drift). Actions map to DS as: ≤15 GO, 15-35 CAUTION (slow to 10%), 35-60 HOLD (pause), and >60 ROLLBACK (revert).",1.0,1.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0216,"In our cross team outage process, what is the expected update rhythm for the shared incident channel from the first message through containment, including when the interval should be shortened?","[""Cannot find relevant context.""]","The expected update rhythm for the shared incident channel in your cross-team outage process includes:

- The initial message (first message) will be sent immediately after the outage has been identified.
- Containment actions are typically initiated and communicated within 24 hours of identifying the issue, which is followed by an update on containment progress.
- After containment measures have been implemented, a second update should be provided within 72 hours to ensure all stakeholders are informed about the situation's resolution.

The interval between updates can be shortened in cases where there has been significant progress or if additional information needs to be shared quickly.","Post the initial Status-Wire update by T+10 minutes (include impact, affected services, mitigations in progress, and state the next update in 30 minutes). Follow with an update at T+30 minutes, then continue every 30-60 minutes until containment; shorten the cadence to every 15 minutes if the incident is customer-impacting or uncertainty is high.",0.0,1.0,0.35
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0221,"When someone new starts at Redwood Inference, what is the target turnaround time for getting them fully set up with accounts and tools in North America versus Europe/Asia-Pacific?","[""Cannot find relevant context.""]","The target turnaround time for setting a new person up with accounts and tools in North America compared to Europe/Asia-Pacific varies. For North America, it typically takes 2-3 days, while for Europe/Asia-Pacific, the process usually takes around 4-5 days. This timeframe is designed to ensure that all necessary configurations are completed efficiently, allowing the new employee to start contributing effectively as soon as possible.",Redwood Inference's target new-hire full provisioning SLA is 5 business days for the US (North America) and 10 business days for EMEA/APAC (Europe and Asia-Pacific).,0.0,0.98,0.2
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0222,"Where can I find the internal one stop reference page that summarizes how our company handles approvals and SLAs for access requests, production changes, data retention, purchasing thresholds, vendor onboarding, and business travel, including links to the standard request templates?","[""Cannot find relevant context.""]",The information you're looking for is not available in the provided contexts.,"Use the Confluence page titled **""Operational Flows and Policy Gallery""**-it's the single-entry reference that summarizes approval paths and SLAs for access, change management, data retention, procurement, vendor onboarding, and travel. The standard request templates are linked in the **""Templates and artifacts (canonical)""** section (e.g., /confluence/templates/access-request-template, /confluence/templates/change-request-template, /confluence/templates/data-deletion-request, /confluence/templates/vendor-onboarding-checklist, /confluence/templates/requisition-lowvalue, /confluence/templates/expense-report-template).",1.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0234,"During the rollout of the new version of our inference cost optimizer, what is the suggested traffic ramp schedule for moving from a small canary to full production, including the minimum stabilization wait between increases?","[""Cannot find relevant context.""]","The suggested traffic ramp schedule for moving from a small canary to full production during the rollout of the new version of your inference cost optimizer includes a minimum stabilization wait between increases. This is typically recommended as follows:

1. **Initial Traffic Increase**: Start with a small increase in traffic, such as 5% or less.
2. **Monitor Performance**: After the initial increase, monitor the performance closely to ensure there are no issues that could arise from sudden changes.
3. **Stabilization Wait**: Allow at least one week of stabilization before making another significant traffic increase.
4. **Repeat Stabilization Period**: Repeat this process with additional small increases until you reach a 100% increase in traffic.

This approach helps ensure smooth and stable rollout, minimizing the risk of introducing bugs or performance issues into your production environment.","The recommended ramp is to increase traffic in doubling increments from canary to full production: 10% → 20% → 40% → 80% → 100%, waiting for telemetry to stabilize after each step for at least 24 hours before increasing again.",0.0,1.0,0.4
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0236,"In our multi-customer GPU inference environment, what is the CI-based tool that spins up a sandbox network setup and drives synthetic traffic patterns to catch regressions in outbound routing and bandwidth fairness before infrastructure changes land?","[""Cannot find relevant context.""]","The CI-based tool you are referring to is called ""Squish."" Squish is designed specifically for catching regressions in outbound routing and bandwidth fairness, particularly when there have been infrastructure changes. It uses a sandbox network setup to drive synthetic traffic patterns, ensuring that the system's performance remains stable before any actual changes are implemented.","It's the Tenant Egress Isolation CI Simulator-an automated CI test harness (with a controller plus a Python traffic generator and sandbox Terraform checks) that spins up ephemeral network modules and drives synthetic tenant traffic to validate egress routing, tenant isolation, and cross-tenant bandwidth fairness before changes reach production.",0.0,1.0,0.4
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0248,"In our hiring workflow, what happens when a candidate is strong but the pay we want to offer is about 20 percent above the middle of the internal range, specifically who has to approve it?","[""Cannot find relevant context.""]","When a candidate is strong and the pay offered exceeds 20% above the middle of the internal range, typically the Human Resources (HR) department or the Compensation Committee would need to approve this decision. This ensures that the compensation package aligns with market standards and company policies regarding employee benefits and incentives.","An offer at about 20% above the band midpoint falls into the +10% to +25% range, so it requires sign-off from the Hiring Manager and the HR Business Partner (HRBP).",0.0,0.95,0.65
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0252,"In our incident response process, what is the rule for when a quick time-boxed after-action review is acceptable instead of writing the full formal analysis, based on impact duration and whether the issue hit one customer versus many?","[""Cannot find relevant context.""]","The rule for deciding if a quick time-boxed after-action review can replace a full formal analysis in incident response depends on two factors:
1. The duration of the impact.
2. Whether the issue affected one customer or multiple customers.

If the impact is short-lived and does not affect many customers, then it might be acceptable to conduct a quick time-boxed after-action review instead of writing a full formal analysis. This approach allows for more immediate action while still capturing key points from the incident response process.","A quick Deferred Postmortem (DPM) is acceptable when the incident is single-tenant and had less than 30 minutes of customer-visible impact (with a known cause and effective mitigation applied at resolution). If it impacted multiple tenants (e.g., multi-tenant Sev2) or is Sev1, a full postmortem is required.",0.0,0.95,0.75
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0259,"In the disconnected installer package for the on prem product, what are the mandatory items that must exist at the top level of the extracted folder before the installer will accept it (including the signed inventory files and the human instructions file)?","[""Cannot find relevant context.""]","The mandatory items that must exist at the top level of the extracted folder in a disconnected installer package for an on-prem product, including the signed inventory files and the human instructions file, are:

1. The disconnected installer package itself.
2. Signed inventory files (if required by the product).
3. A human instructions file.

These items ensure that the installer is properly prepared to proceed with the installation process.","At the bundle root (the single directory you extract to), the installer expects these top-level files: `manifest.json` (required), `manifest.sig` (required for signed/normal bundles; only optional for explicitly approved break-glass bundles), and `README.txt` (required).",0.0,1.0,0.3
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0270,"Which bank client got a temporary signoff to keep normal processing in Europe but let traffic switch to a US site only during disaster recovery drills or when the EU cluster is degraded, with payload logging turned off, and what were the start and end dates of that allowance?","[""Cannot find relevant context.""]","The context provided does not contain any information about a specific bank client getting a temporary signoff for processing in Europe but allowing traffic to switch to a US site during disaster recovery drills or when the EU cluster is degraded. The text only mentions payload logging being turned off, which was done regardless of location and did not relate to a specific client's request. Therefore, based on the given information, there is no answer available for the question asked.","The client was NordBank AB, and the temporary exception allowing US (us-east) failover only during DR tests or when eu-west is degraded (with payload logging disabled) ran from 2025-02-15 through 2025-05-31.",1.0,0.0,0.0
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0272,What is the default time window the company targets for routine internal approvals across operational requests?,"[""Cannot find relevant context.""]",The default time window for routine internal approvals across operational requests is 24 hours.,The target SLA for routine internal approvals is 72 business hours.,0.0,1.0,0.3
P_fixed_1024_none_sparse_bm25_flat_contextual_compression,qst_0294,"In the internal workshop where we deliberately sabotage a client library via a local proxy to test resiliency, what exact fields are required in the saved run trace file format (the per-span identifiers, timestamps, and the single flattened attributes string) so our baseline and failure runs are comparable?","[""Cannot find relevant context.""]","To ensure that your baseline and failure runs from the internal workshop where you deliberately sabotage a client library via a local proxy for testing resiliency can be compared, the exact fields required in the saved run trace file format (including per-span identifiers, timestamps, and the single flattened attributes string) should include:

1. **Per-Span Identifiers**: These are unique identifiers assigned to each span within the trace. They help in identifying specific parts of the execution that were affected by your sabotage.

2. **Timestamps**: The time at which each event or operation occurred is crucial for understanding the sequence and timing of events during the test.

3. **Single Flattened Attributes String**: This field contains a single string representation of all attributes associated with spans, including but not limited to: span name, duration, resource usage (CPU, memory), error messages, etc. It ensures that all relevant information about each span is captured and can be easily compared across different runs.

By ensuring these fields are included in the saved run trace file format, you will have a consistent and comparable dataset for your baseline and failure runs, allowing you to accurately test and evaluate resiliency against various scenarios.","The lab's golden trace must be a JSON file with a top-level array of spans, and each span must include these string fields: trace_id, span_id, parent_id (nullable; use an empty string if none), name, start_ts (ISO 8601), end_ts (ISO 8601), and attributes (a single flattened comma-separated key=value string that includes at least model_variant, token_count, route_key, and billing_unit).",0.0,0.95,0.45
